access_level,age,buy_now_clicked,buy_now_clicked_date,chosen_package,degree,gender,last_login,oauth_provider,registration_date,status,user_id,user_type
0,,0,0000-00-00 00:00:00,,,,,,1/01/2017 1:16,1,19707,0
0,28,0,0000-00-00 00:00:00,,Bachelors,Male,,facebook,1/01/2017 4:39,1,19714,1
0,,0,0000-00-00 00:00:00,,,Male,,facebook,1/01/2017 5:55,1,19716,1
0,,0,0000-00-00 00:00:00,,,Male,,facebook,1/01/2017 8:22,1,19719,1
0,,0,0000-00-00 00:00:00,,,Male,,facebook,1/01/2017 9:10,1,19721,1
0,,1,2/01/2017 6:36,bronze,,,1483299492,,1/01/2017 9:23,1,19722,0
0,,0,0000-00-00 00:00:00,,,,,,1/01/2017 15:43,1,19732,0
0,,1,21/01/2017 22:30,silver,,,1516418682,,1/01/2017 17:59,1,19738,0
0,,0,0000-00-00 00:00:00,,,,,,1/01/2017 19:08,1,19740,0
0,,0,0000-00-00 00:00:00,,,,,,1/01/2017 20:42,1,19742,0
0,,0,0000-00-00 00:00:00,,,,,,2/01/2017 1:50,1,19750,0
0,,0,0000-00-00 00:00:00,,,,,,2/01/2017 3:18,1,19754,0
0,,0,0000-00-00 00:00:00,,,,1483378613,,2/01/2017 4:37,1,19758,0
0,,1,3/01/2017 3:44,gold,,,1537391326,,2/01/2017 8:16,1,19765,0
0,,0,0000-00-00 00:00:00,,,,,,2/01/2017 10:35,1,19769,0
0,,1,4/01/2017 10:40,bronze,,Male,1483575643,,2/01/2017 20:25,1,19775,0
0,,0,0000-00-00 00:00:00,,,,,,2/01/2017 21:34,1,19776,0
0,,0,0000-00-00 00:00:00,,,,,,2/01/2017 23:49,1,19780,0
0,,0,0000-00-00 00:00:00,,,Male,,facebook,3/01/2017 7:54,1,19795,1
0,,0,0000-00-00 00:00:00,,,Male,,facebook,3/01/2017 8:42,1,19797,1
0,,0,0000-00-00 00:00:00,,,,,,3/01/2017 8:44,1,19798,0
0,,0,0000-00-00 00:00:00,,,,,,3/01/2017 9:04,1,19801,0
0,,0,0000-00-00 00:00:00,,,,,,3/01/2017 10:18,1,19808,0
0,,0,0000-00-00 00:00:00,,,,,,3/01/2017 10:19,1,19809,0
0,,0,0000-00-00 00:00:00,,,Female,,facebook,3/01/2017 13:50,1,19820,1
